original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G0101110,722287,Anniston_Metropolitan_Ap,44.913795,-88.641293,44.48,-88.13,53.1620339700674
G0101130,722250,Fort_Benning_Lawson,44.913795,-88.641293,44.48,-88.13,9.946345579353379
G0101150,722280,Birmingham_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,36.69363111541803
G0101170,722280,Birmingham_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,31.084417883228216
G0101190,722345,Meridian_Naas,44.913795,-88.641293,44.48,-88.13,31.741784645382136
G0101210,722287,Anniston_Metropolitan_Ap,44.913795,-88.641293,44.48,-88.13,37.57777490521522
G0101230,722284,Auburn_Opelika_Apt,44.913795,-88.641293,44.48,-88.13,48.21511607902297
G0101250,722286,Tuscaloosa_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,9.306933208022944
G0101270,722280,Birmingham_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,55.157090744914136
G0101290,722230,Mobile_Regional_Ap,44.913795,-88.641293,44.48,-88.13,81.46647110328935
G0101310,722260,Montgomery_Dannelly_Field,44.913795,-88.641293,44.48,-88.13,98.18242713432075
G0101330,723235,Muscle_Shoals_Regional_Ap,44.913795,-88.641293,44.48,-88.13,67.35578559147748
G0200200,702720,Anchorage_Elmendorf,44.913795,-88.641293,44.48,-88.13,6.435889186596705
G0200500,702190,Bethel_Airport,44.913795,-88.641293,44.48,-88.13,20.714714740275795
G0200600,703260,King_Salmon_Arpt,44.913795,-88.641293,44.48,-88.13,12.293081624447943
G0200680,702647,Healy_River_Airport,44.913795,-88.641293,44.48,-88.13,0.708650224780838
G0200700,703210,Dillingham_Amos,44.913795,-88.641293,44.48,-88.13,14.85351359637641
G0200900,702610,Fairbanks_Intl_Arpt,44.913795,-88.641293,44.48,-88.13,10.769055289389266
G0201100,703810,Juneau_IntL_Arpt,44.913795,-88.641293,44.48,-88.13,3.034259671702595
G0201220,702595,Soldotna,44.913795,-88.641293,44.48,-88.13,19.823860125747775
G0201300,703950,Ketchikan_Intl_Ap,44.913795,-88.641293,44.48,-88.13,2.632346139672896
G0201500,703500,Kodiak_Airport,44.913795,-88.641293,44.48,-88.13,3.9862464070986063
G0201640,703260,King_Salmon_Arpt,44.913795,-88.641293,44.48,-88.13,21.119494735099245
G0201700,702746,Birchwood,44.913795,-88.641293,44.48,-88.13,21.902558424107337
G0201800,702000,Nome_Municipal_Arpt,44.913795,-88.641293,44.48,-88.13,10.190777083600926
G0201850,700260,Barrow_W_Post_W_Rogers_Arpt_N,44.913795,-88.641293,44.48,-88.13,109.29799539009777
G0201880,701330,Kotzebue_Ralph_Wein_Memorial,44.913795,-88.641293,44.48,-88.13,42.54713985191965
G0202200,703710,Sitka_Japonski_Ap,44.913795,-88.641293,44.48,-88.13,2.439929772870018
G0202400,702670,Big_Delta_Allen_Aaf,44.913795,-88.641293,44.48,-88.13,52.96984546243916
G0202610,702756,Valdez_Pioneer_Fiel,44.913795,-88.641293,44.48,-88.13,25.40020392889562
G0400010,723627,Gallup_Sen_Clarke_Fld,44.913795,-88.641293,44.48,-88.13,57.809378609316866
G0400030,722735,Douglas_Bisbee_Douglas_Intl_A,44.913795,-88.641293,44.48,-88.13,46.48002691299474
G0400050,723755,Flagstaff_Pulliam_Arpt,44.913795,-88.641293,44.48,-88.13,43.370781514151346
