occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.5,0.276,0.276,0.633,0,0,0,0.402,0.682,0.682,0,0,0.277
0.75,0.481,0.481,0.133,0,0,0,0.62,0.847,0.847,0,0,0
0.5,0.439,0.439,0,0,0,0,0.569,0.729,0.729,0,0,0.0791
0.5,0.525,0.525,0,0,0,0,0.597,0.701,0.701,0,0,0.277
0.75,0.52,0.52,0,0,0,0,0.625,0.673,0.673,0,0,0.0395
0.75,0.24,0.24,0,0,0,0,0.435,0.56,0.56,0,0,0.0625
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.137
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0514,0.0514,0,0,0,0,0.309,0.499,0.499,0,0,0.0671
1,0.101,0.101,0,0,0,0,0.381,0.542,0.542,0,0,0.105
1,0.281,0.281,0,0,0,0,0.515,0.636,0.636,0,0,0.162
0.5,0.151,0.151,0,0,0,0,0.358,0.546,0.546,0,0,0.177
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.198
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.237
0.25,0.153,0.153,0.133,0,0,0,0.281,0.555,0.555,0,0,0.237
0.25,0.15,0.15,1,0,0,0,0.277,0.56,0.56,0,0,0.328
0.25,0.149,0.149,0.15,0,0,0,0.291,0.56,0.56,0,0,0
0.25,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0
0.25,0.152,0.152,0,0,0,0,0.305,0.564,0.564,0,0,0.0395
0.5,0.276,0.276,0,0,0,0,0.402,0.682,0.682,0,0,0.237
0.5,0.338,0.338,0,0,0,0,0.499,0.72,0.72,0,0,0.298
0.5,0.439,0.439,0,0.483,0,0,0.569,0.729,0.729,0,0,0.143
0.75,0.763,0.763,0,1,0,0,0.767,0.819,0.819,0.723,0,0.128
